TIMESTAMP ID VALOR
1704078010 sensor1 int: 3
1704078018 sensor1 int: 8
1704078023 sensor1 int: 4
1704078025 sensor1 int: 8
1704078034 sensor1 int: 9
1704078042 sensor1 int: 4
1704078062 sensor1 int: 9
1704078082 sensor1 int: 3
1704078086 sensor1 int: 6
1704078093 sensor1 int: 3
1704078100 sensor1 int: 8
1704078152 sensor1 int: 2
1704078175 sensor1 int: 3
1704078180 sensor1 int: 5
1704078198 sensor1 int: 0
1704078210 sensor1 int: 8
1704078212 sensor1 int: 0
1704078286 sensor1 int: 6
1704078288 sensor1 int: 6
1704078299 sensor1 int: 7
1704078316 sensor1 int: 4
1704078328 sensor1 int: 1
1704078372 sensor1 int: 7
1704078379 sensor1 int: 9
1704078421 sensor1 int: 2
1704078429 sensor1 int: 6
1704078442 sensor1 int: 0
1704078469 sensor1 int: 0
1704078494 sensor1 int: 1
1704078495 sensor1 int: 0
1704078513 sensor1 int: 9
1704078527 sensor1 int: 1
1704078573 sensor1 int: 8
1704078584 sensor1 int: 3
1704078591 sensor1 int: 5
1704078605 sensor1 int: 9
1704078609 sensor1 int: 7
1704078609 sensor1 int: 0
1704078626 sensor1 int: 7
1704078662 sensor1 int: 3
1704078663 sensor1 int: 5
1704078688 sensor1 int: 4
1704078711 sensor1 int: 6
1704078800 sensor1 int: 7
1704078827 sensor1 int: 8
1704078836 sensor1 int: 8
1704078876 sensor1 int: 5
1704078904 sensor1 int: 3
1704078913 sensor1 int: 3
1704078919 sensor1 int: 5
1704078923 sensor1 int: 1
1704078935 sensor1 int: 9
1704078941 sensor1 int: 0
1704078943 sensor1 int: 3
1704078949 sensor1 int: 1
1704078967 sensor1 int: 3
1704078981 sensor1 int: 4
1704078984 sensor1 int: 2
1704078995 sensor1 int: 4
1704079021 sensor1 int: 7
1704079062 sensor1 int: 2
1704079124 sensor1 int: 2
1704079230 sensor1 int: 3
1704079242 sensor1 int: 1
1704079249 sensor1 int: 5
1704079250 sensor1 int: 0
1704079258 sensor1 int: 0
1704079266 sensor1 int: 9
1704079271 sensor1 int: 0
1704079273 sensor1 int: 4
1704079320 sensor1 int: 3
1704079325 sensor1 int: 2
1704079337 sensor1 int: 0
1704079352 sensor1 int: 4
1704079363 sensor1 int: 1
1704079378 sensor1 int: 0
1704079386 sensor1 int: 0
1704079395 sensor1 int: 7
1704079397 sensor1 int: 0
1704079403 sensor1 int: 5
1704079406 sensor1 int: 7
1704079416 sensor1 int: 5
1704079425 sensor1 int: 7
1704079433 sensor1 int: 4
1704079456 sensor1 int: 8
1704079460 sensor1 int: 7
1704079493 sensor1 int: 4
1704079508 sensor1 int: 4
1704079510 sensor1 int: 9
1704079541 sensor1 int: 2
1704079545 sensor1 int: 1
1704079546 sensor1 int: 9
1704079602 sensor1 int: 6
1704079670 sensor1 int: 4
1704079690 sensor1 int: 5
1704079714 sensor1 int: 4
1704079737 sensor1 int: 5
1704079752 sensor1 int: 3
1704079756 sensor1 int: 3
1704079792 sensor1 int: 4
1704079797 sensor1 int: 6
1704079854 sensor1 int: 2
1704079865 sensor1 int: 6
1704079888 sensor1 int: 2
1704079894 sensor1 int: 6
1704079915 sensor1 int: 6
1704079921 sensor1 int: 2
1704079999 sensor1 int: 6
1704080001 sensor1 int: 2
1704080020 sensor1 int: 9
1704080024 sensor1 int: 1
1704080032 sensor1 int: 5
1704080049 sensor1 int: 2
1704080059 sensor1 int: 7
1704080092 sensor1 int: 9
1704080105 sensor1 int: 2
1704080157 sensor1 int: 7
1704080159 sensor1 int: 1
1704080172 sensor1 int: 0
1704080183 sensor1 int: 8
1704080193 sensor1 int: 9
1704080218 sensor1 int: 3
1704080243 sensor1 int: 8
1704080251 sensor1 int: 6
1704080262 sensor1 int: 9
1704080273 sensor1 int: 6
1704080286 sensor1 int: 2
1704080292 sensor1 int: 9
1704080322 sensor1 int: 8
1704080331 sensor1 int: 6
1704080358 sensor1 int: 6
1704080363 sensor1 int: 7
1704080371 sensor1 int: 6
1704080388 sensor1 int: 3
1704080396 sensor1 int: 7
1704080403 sensor1 int: 4
1704080405 sensor1 int: 2
1704080416 sensor1 int: 1
1704080420 sensor1 int: 5
1704080421 sensor1 int: 0
1704080422 sensor1 int: 2
1704080428 sensor1 int: 9
1704080463 sensor1 int: 2
1704080469 sensor1 int: 8
1704080495 sensor1 int: 3
1704080517 sensor1 int: 0
1704080533 sensor1 int: 0
1704080568 sensor1 int: 9
1704080605 sensor1 int: 2
1704080607 sensor1 int: 2
1704080680 sensor1 int: 4
1704080741 sensor1 int: 1
1704080773 sensor1 int: 8
1704080809 sensor1 int: 4
1704080846 sensor1 int: 3
1704080873 sensor1 int: 4
1704080873 sensor1 int: 9
1704080873 sensor1 int: 2
1704080879 sensor1 int: 4
1704080883 sensor1 int: 9
1704080895 sensor1 int: 9
1704080899 sensor1 int: 7
1704080900 sensor1 int: 3
1704080903 sensor1 int: 2
1704080904 sensor1 int: 6
1704080905 sensor1 int: 8
1704080923 sensor1 int: 4
1704080949 sensor1 int: 7
1704080988 sensor1 int: 8
1704080992 sensor1 int: 3
1704080996 sensor1 int: 4
1704081002 sensor1 int: 8
1704081014 sensor1 int: 2
1704081026 sensor1 int: 9
1704081037 sensor1 int: 1
1704081043 sensor1 int: 4
1704081043 sensor1 int: 0
1704081053 sensor1 int: 8
1704081058 sensor1 int: 8
1704081061 sensor1 int: 9
1704081063 sensor1 int: 8
1704081089 sensor1 int: 3
1704081121 sensor1 int: 9
1704081129 sensor1 int: 4
1704081136 sensor1 int: 7
1704081140 sensor1 int: 1
1704081169 sensor1 int: 1
1704081186 sensor1 int: 3
1704081189 sensor1 int: 6
1704081198 sensor1 int: 0
1704081200 sensor1 int: 6
1704081218 sensor1 int: 4
1704081241 sensor1 int: 7
1704081348 sensor1 int: 2
1704081367 sensor1 int: 6
1704081396 sensor1 int: 4
1704081409 sensor1 int: 7
1704081438 sensor1 int: 4
1704081438 sensor1 int: 2
1704081512 sensor1 int: 0
1704081526 sensor1 int: 2
1704081577 sensor1 int: 7
1704081596 sensor1 int: 9
1704081599 sensor1 int: 2
1704081600 sensor1 int: 9
1704081605 sensor1 int: 6
1704081651 sensor1 int: 9
1704081656 sensor1 int: 7
1704081696 sensor1 int: 4
1704081703 sensor1 int: 7
1704081704 sensor1 int: 8
1704081710 sensor1 int: 0
1704081765 sensor1 int: 9
1704081792 sensor1 int: 2
1704081815 sensor1 int: 4
1704081832 sensor1 int: 6
1704081840 sensor1 int: 7
1704081845 sensor1 int: 8
1704081867 sensor1 int: 2
1704081884 sensor1 int: 9
